1,2,34640959
2,8,35361345
3,5,35595140
4,1,35337881
5,7,31004503
6,6,35433950
7,3,37497123
8,4,38211163
9,8,34162394
10,5,36417476
11,2,34491913
12,7,34190730
13,1,33749109
14,6,37418357
15,3,36546905
16,7,36257309
17,4,30444666
18,8,3894276
19,1,34997081
20,2,36729686
21,5,35197784
22,7,36808611
23,6,31052421
24,4,36997129
25,3,36579407
26,8,33462463
27,1,844268
28,2,31602061
29,5,32596005
30,4,36729687
31,7,36602102
32,6,36898234
33,8,33736499
34,3,36960967
35,7,37157677
36,5,37248286
37,6,37241167
38,4,37374436
39,1,31175119
40,8,34074733
41,7,35980817
42,3,37028929
43,1,37487396
44,4,38173500
45,8,36109370
46,2,34215822
47,7,34082381
48,6,36411336
49,8,37918326
50,4,33699116
51,1,5515283
52,3,37347911
53,7,37860725
54,8,36824209
55,5,34215820
56,6,36014319
57,3,36411347
58,4,37001445
59,2,36582899
60,1,35745727
61,8,33301174
62,7,5398990
63,5,33359725
64,4,33976671
65,6,34773088
66,2,33097909
67,1,35355968
68,7,38277532
69,3,32961718
70,8,35953447
71,4,36909291
72,2,36634860
73,7,32059630
74,6,38095946
75,1,34787226
76,8,8155478
77,4,34032566
78,3,2212365
79,3,35433950
80,5,31266290
81,7,34803365
82,2,36388573
83,6,36909298
84,1,35313136
85,3,36450712
86,5,34588192
87,2,35360369
88,8,31853557
89,4,34754298
90,6,3811437
91,7,4347674
92,1,34772475
93,2,36374472
94,2,34773088
95,5,35888479
96,3,36266615
97,4,37907939
98,8,34930368
99,6,35563093
100,1,35810840
101,5,35913593
102,7,35613951
103,2,35272015
104,8,35391594
105,4,8141272
106,3,34626118
107,6,32978341
108,5,38327509
109,7,35744813
110,2,35868657
111,8,33334097
112,1,30147446
113,3,35309269
114,5,34366010
115,2,34699668
116,2,36729687
117,6,36717264
118,4,31666417
119,8,34451383
120,7,37491072
121,5,34431722
122,1,31148026
123,3,33120545
124,2,2255158
125,6,36937528
126,8,33601086
127,4,33480898
128,7,36778871
129,1,35885438
130,5,33170811
131,3,35413033
132,2,35730564
133,7,35817383
134,1,34385816
135,4,37390942
136,8,3136472
137,6,35546498
138,7,38005911
139,5,36761467
140,3,30781481
141,1,34808763
142,8,32224166
143,4,37138465
144,7,34701996
145,5,35980451
146,2,36110996
147,3,37120976
148,8,34587907
149,4,34472554
150,1,36855841
151,6,35904381
152,5,34562040
153,3,31532438
154,7,34481682
155,1,36546900
156,8,5506296
157,4,30667988
158,5,35337708
159,6,35383399
160,2,37524049
161,7,36235272
162,8,37001450
163,1,34373632
164,3,2238379
165,2,36741987
166,5,32738672
167,4,34187867
168,7,35624152
169,3,34626119
170,8,35060829
171,2,37089182
172,6,36105548
173,4,1754584
174,7,34625548
175,5,35937391
176,1,33464805
177,3,38048464
178,2,36808716
179,8,30384697
180,6,37884934
181,4,36296575
182,8,35904516
183,5,34331506
184,7,1521180
185,3,36930793
186,1,35526685
187,2,30773554
188,6,35198747
189,8,32404626
190,1,34580847
191,7,33759183
192,5,1556553
193,2,30827192
194,6,38014307
195,5,35980449
196,3,37140709
197,4,32183387
198,8,32906021
199,1,33013877
200,7,37474341
201,5,3840677
202,2,35640848
203,3,36342693
204,7,37390245
205,4,316434
206,1,37075776
207,8,35953743
208,6,30079086
209,3,34626115
210,7,36081378
211,8,34486102
212,6,36381767
213,2,36391237
214,1,62619
215,7,38105483
216,4,34270805
217,8,37051614
218,6,35727935
219,5,3843566
220,1,35457484
221,2,34397936
222,3,33372782
223,4,35752189
224,6,36761468
225,7,36502910
226,5,33150997
227,8,30611680
228,2,34331508
229,3,34626109
230,1,32130396
231,7,36464689
232,6,4818649
233,8,36314746
234,5,31576009
235,4,33722789
236,8,36243654
237,6,33453960
238,7,35643794
239,9,37390940
240,2,37431365
241,1,35223429
242,8,36676722
243,4,36224660
244,3,8252573
245,9,36582898
246,9,34773088
247,7,33476728
248,6,35353251
249,2,36079890
250,4,36778870
251,8,34310036
252,3,33372788
253,7,36087428
254,1,5748499
255,2,34403017
